EXPORTACIONES/IMPORTACIONES,STATE ID,AÑO,ESTADO,VALOR,PORCENTAJE
Importaciones,3,2018,Baja California Sur,31185734,0.045470386
Importaciones,6,2018,Colima,116607510,0.17001968
Importaciones,7,2018,Chiapas,25938202,0.037819218
Importaciones,8,2018,Chihuahua,16465729,0.02400787
Importaciones,9,2018,Ciudad de México,148650079,0.216739375
Importaciones,11,2018,Guanajuato,14313472,0.02086977
Importaciones,14,2018,Jalisco,20343312,0.029661584
Importaciones,15,2018,Estado de México,32002687,0.046661545
Importaciones,19,2018,Nuevo León,12003265,0.017501371
Importaciones,23,2018,Quintana Roo,77127898,0.112456398
Importaciones,25,2018,Sinaloa,80071541,0.116748379
Importaciones,26,2018,Sonora,1602208,0.002336101
Importaciones,28,2018,Tamaulipas,53989356,0.078719227
Importaciones,30,2018,Veracruz de Ignacio de la Llave,658086,0.000959523
Importaciones,31,2018,Yucatán,738491,0.001076757
